"Outside for just about 1 hour, the sun was bloody hot - no tan  Wait for monday then will spend around 2 hours outside ;)"," surprise"
"@DarkAeon Alas, the best I can offer is a small pony and a rowing boat"," surprise"
"@cwpicketandco It's pretty warm out now! I forgot K was sick though.","neutral"
"@Steffisticated If they recorded it and sent it to people, they obviously meant for it to get out there.  But if they didn't, I feel bad."," neutral"
"@gohong Don't count on it"," surprise"
"have to put my dog down tomorrow."," surprise"
"shower before doctor's appointment","neutral"
"My sunglasses broke","neutral"
"@pixiexlee Ahh but but  haha They're so cute together!! &gt;_&lt; cutest couple really! he's so sweet !"," surprise"
"i lost my nintendogs, it's very upsetting."," sadness"
"Can't believe how gorgeous the weather has been today &amp; I've had to spend it at work!"," boredom"
"Geez I'm hating bein at work till 10 on a day like this I feel like its a wasted lovley day"," surprise"
"The pool doesnt open til tomorrow!"," surprise"
"Has a bad headache"," relief"
"@Jeefthepirate @thedeadknight I know it's sad. But back in 05 the auto industry didn't understand that iPhones would change our lives"," surprise"
"i have three hours to do my hair. and it STILL won't be straight"," surprise"
"i told myself i wasn't gonna cry and then one kid that everyone made fun of all year said &quot;it's been a good year&quot;"," surprise"
"@hepcatrayo  so sorry, I just found the members preview has been sold out for awhile. It opens at Noon to the general public"," @hepcatrayo  oh no"
"exhausted and sick... my face is greenish"," sadness"
"waiting for aaron to get into town, and then leave him for work. booo","neutral"
"does not feel like babysitting. i want to go to the gym. weird, i know. i miss zack"," surprise"
"Its Friday! Only 5 more hours until I'm free!.....until tomorrow.  oh well"," surprise"
"I hope amy is okai"," surprise"
"i am so stressed and sad about pugsly missing. i hope hes okay. i am stuck at otrip and cant look for him  someone post his pic on FB 4 me"," surprise"
"I'm sitting in altanta. It's raining in boston. Yay for flying in the rain, that should help with my fear."," surprise"
"@MBLeah Unfortunately, no.","@mbleah i will give you sad"
"@projectcloud i'm trying  in lots of pain though."," sadness"
"@Jojosvoice Bro. Martin!! I need you to repent!! Pam said we were going to get to meet you last wknd..."," surprise"
"@AbeerAK woooooow I wanna join the maseera, but on bed rest can't drive  R thy going crazy or its the boring type?"," surprise"
"Bleargh. I can never clean as much of my house as I want to before work, no matter how early I wake up. Today: sink, laundry."," surprise"
"The young lady in the local Chinese taking orders is, it has to be said, very cute indeed. Pity I'm probably twice her age"," surprise"
"@bitterpurl I don't even look at their fabric unless I need polar fleece.   It's worth the extra $ to go to Needle and Thread."," surprise"
"@hambers It means &quot;luv ya&quot; in Zulu/Xhosa. Probably spelt it wrong lol. Can't b creative 2day ...tired  so translated"," surprise"
"@jen4buz How inconsiderate!","@jen4buz i will give you sad"
"@Kreeoni I know that feeling."," surprise"
"Today in the friendly game one asshole hit me in the knee. Now, I'm lying in bed with a heating cream (stinks) and ice. bore very much"," relief"
"well paisley has one of those cone things around her head...SO funny but I feel bad for her"," surprise"
"Everyone is so sad about the no touching rule.  You still get to see them! More than most of us get!"," surprise"
"@top5jamaica yeah man, they brought it back on the market a couple years ago...it scarce through","neutral"
"@dsml dont depress me  I have the mother-in-law staying the weekend. Someone else to wait on other than the kids!"," surprise"
"@BigzFlygerian sorry but I'm not impressed in the slightest b/c u don't eat pussy..more like saddened and confused"," surprise"
"OMG The LG KC910 touchscreen fone is such a pile of shite!! Roll on new contract in 18 months"," surprise"
": why is it so cold!?!?!",": because it's freezing"
"@ChantiParnell I wana be there num 1 fan  sharsies??!!!"," surprise"
"thinking of you - Katy Perry","love"
"@Starry1968 you're surrounded by them! I have no official nieces/nephews yet","neutral"
"it'S freezing and raining here","neutral"
"is becoming edgy bcause the lappy has not arrive yet","neutral"
"Another favorite local place bites the dust: Con Sabor Cubano, the place I go to for the most amazing Cuban sammiches, is closed"," surprise"
"@MissJo_Jo I took pics but I cant find my camera chord to upload them  my cell phone doesnt do justice. It feels like nothings on"," surprise"
"@ArnaudJacobs haha well i was at my friend's party, but then i realized i forgot my stepmom's bday, so i had to come home to call her!"," surprise"
"i just saw a pony that used to live in front of my house again. he's developed cushing's disease tho"," surprise"
"@unaffected @warpdesign @cianan @mikedelgado Byebye web buddies  The cubes look so sad... SRoach I had no idea you are BigToach."," surprise"
"@loribartolozzi I just found out 5 minutes ago  mama said his speech is still slurred but he seems to be doing ok"," surprise"
"Thinking of making a Google Wave wordpress plugin in the next months... Really want to test it"," surprise"
"@meerasapra seriously.. it used to spend most of the time in my house..","happiness"
"@gemmie_mit_glee It is confusing and flippin expensive"," surprise"
"@archetypo no kidding, the trends are pretty much useless now. Too bad"," surprise"
"yeaaaahh lunch but no food/money"," surprise"
"heading out to the park with the kids - hope it does not rain -looking cloudy?","neutral"
"fuck i hate when the strawberries run out in my special K"," surprise"
"is about to go for a run.. in this weather..","neutral"
"Getting a cleaning on tues then getting a tooth pulled on thurs. Then gotta schedule a bridge that might need a root canal--ugh."," surprise"
"@Draconator its brokey"," surprise"
"@kennyblak We wasnt invited to yall get togethers either! Then @tnlos and @josmoke was playin security and told us to be quiet!!"," neutral"
"Where is the boss... I'd like to have my check and leave please!"," anger"
"We're not gonna be able to talk again"," surprise"
"sad today...neighbour taking down beautiful willow tree","joy"
"cart path only"," surprise"
"damnnn this day came to fast, but i cherished all the moment i had"," surprise"
"@bmerten85 @anthonycolaneri Pool party? Why wasn't I informed????","@bmerten85 surprise"
"michael scholfield is no more. He is dead. I am sorry"," sadness"
"@JuiceOwens WHATS THE VIDEO?? I CANT WATCH IT!"," surprise"
"had a good day but im now skint again"," relief"
"@fashionish OOuUch!...good luck"," surprise"
"@mamapennington im the only one in the office! and I jammed the copier"," surprise"
"@lauryqui  we're gonna miss you. dont worry, there will be more for sure!"," sadness"
"Finals week dont bother me im studying"," surprise"
"Do fish feel pain? Yes, says a new study.  http://is.gd/Jbcg"," no"
"Finally got to wash my hair! I feel much better now, but I gotta dry it ... Effffffort."," surprise"
"Someone just fuck up birthday sex for me ...  he basically said the song is about a nigga being selfish ... Listen to the song carefully"," surprise"
"I though the clothes of AW0910 Collection from +9 designers will be there, together with the visual arts, but it is not"," surprise"
"David Mitchell's presenting 'Have I Got News For You' tonight &lt;3 I love him! I think he's ace &lt;3 On another note, damn this headache"," surprise"
"@scythianmusic PLEASE come to Minneapolis/St. Paul area!!!! I looked on your schedule but I don't see anything close anytime soon."," surprise"
"i love him..i hate him..i loved him yesterday...ill hate him tomorrow....damn im confused"," surprise"
"@OGBERRY cold and rainy","### answer: happy"
"@mustntgrumble ha!The potential is there but so is the loss of fingers, think you can get the PO to do it? At a charge and not full proof"," surprise"
"has now found a bug in the RHEL5 bnx2 driver   Cant handle high packets per second (&gt; 50k)"," surprise"
"gross. it's hot, and there's cotton EVERYWHERE.. hello allergies.","neutral"
"baby i need you , right here , right now","love"
"@peterloggins ... schedule says 10:30 class? I will be late for 10  #campjitterbug"," surprise"
"I work in one hour","neutral"
"#followfriday @RoRuby although she doesnt consider me a sweetheart to","#followfriday @roruby love"
"is so gutted she can't get tickets for pink!"," surprise"
"Thought she wuz my best friend...","hate"
"@stuartnewman So sorry  Definitely getting it out this weekend.","sorry"
"Is still tired  due to late nights out and work and has to b up early again 2moro 4 work bad times!"," surprise"
"@loldarian oh ok  I guess next time then!","neutral"
"@tinabojo Wish I was there!"," surprise"
"Again, No P.F. Changs for lunch    Booooo"," surprise"
"Oh well, there go my hopes for seamless transfer of blog  however I am now on track and will have it up and running sometime this eve"," surprise"
"Downside to being on client site... no donut today."," surprise"
"@chamillionaire Wish I could go. Gotta work.","neutral"
"@evlover0327 ...I will take some...I am tiny"," surprise"
"moving 11 blocks up the street. goodbye hardwood floors"," sadness"
"@Jadeyyg  haa I'm so exciteddd woooo"," excitement"
"@ireallydohate I had to look at it 3 times before it sunk in, totally shocked by it  tbh."," surprise"
"sore from ultimate... trying to figure out how to pay for school next semester..."," surprise"
"missing loverboy so much"," surprise"
"Quick answer, when do I put the bleach in the wash?? In the start or middle..  don't laugh @ me.."," surprise"
"Im so tired and sick  i have to be better on Sunday so i can sing morning and night"," surprise"
"@katyb_ haha tell me about. I've had this feeling everyday of this week"," surprise"
"going camping in a coupla hours. gotta pack everything... by myself"," enthusiasm"
"@tommcfly I really hope you see my tweets. Sent you so much, I swear. Do a tour in the Philippines, please?  *prays*"," surprise"
"@JetGirlArt same as I... to bad I'm a programmer only in this company"," neutral"
"@danecook Sooo SAD I will miss you here in San Diego!!!"," sadness"
"@Peapods ooow those look painful, poor bb","@bb you look sad"
"time to get to work. i'm already starting the day off bad. missed the UP screening  this morning at the el capitan"," surprise"
"@ work again"," surprise"
"@finalscoreB3G2  How nice"," surprise"
"So i have done absolutely NOTHING all day today...how pitiful is that...smdh...guess I cant go out 2nite, I gotta work  booo @me"," anger"
"@benjamin_cook Guess I am very shallow then!"," surprise"
"Nooo i wanna watch the comet  dont wanna go workk!!!"," surprise"
"Bar exam madness:  topic for today is torts"," surprise"
